PersonaID,AgeGroup,Gender,EducationLevel,OccupationSector,Region,PoliticalIdeology,Trust_ScienceInstitutions,Belief_ClimateExists,Emotional_WorryAboutClimate,BehaviouralOrientation,SocialConnectivity
P0821,25-34,Male,Master’s/PhD,Service/Office,Global South,Moderate Conservative,High,Slightly agree,Very worried,Neutral,High
P0695,18-24,Female,Bachelor’s,Construction/Outdoor,US Midwest,Centrist,Moderate,Strongly agree,Somewhat not worried,Not oriented to action,High
P0982,35-44,Female,Master’s/PhD,Education/Academic,US Northeast,Liberal,Moderate,Strongly agree,Somewhat not worried,Somewhat inactive,High
P0578,25-34,Female,Bachelor’s,Construction/Outdoor,Global South,Conservative,Moderate,Strongly agree,Very worried,Neutral,Medium
P0463,45+,Male,High School or less,Service/Office,Europe-North,Liberal,Very low,Slightly agree,Neutral / not very worried,Somewhat inactive,High
P0159,18-24,Male,High School or less,Tech/IT,US West,Moderate Conservative,Very low,Slightly disagree,Very worried,Somewhat inactive,High
P0504,35-44,Male,Bachelor’s,Manufacturing/Industrial,Europe-North,Moderate Conservative,Moderate,Strongly disagree,Very worried,Neutral,Low
P0402,18-24,Female,High School or less,Service/Office,US Midwest,Moderate Conservative,Low,Slightly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0663,25-34,Female,Bachelor’s,Public sector,Europe-North,Conservative,Very high,Strongly disagree,Not worried at all,Somewhat inactive,Medium
P0802,18-24,Male,High School or less,Environmental/NGO,US West,Centrist,High,Slightly disagree,Somewhat not worried,Not oriented to action,Medium
P0528,35-44,Male,Bachelor’s,Education/Academic,Other,Moderate Conservative,Very low,Strongly agree,Somewhat worried,Somewhat inactive,High
P0724,35-44,Other/Non-binary,Bachelor’s,Tech/IT,Other,Centrist,High,Slightly agree,Somewhat worried,Somewhat inactive,Medium
P0678,18-24,Female,Master’s/PhD,Farming/Agriculture,Europe-North,Moderate Liberal,Moderate,Strongly agree,Very worried,Neutral,Medium
P0450,25-34,Female,Bachelor’s,Service/Office,US Northeast,Centrist,High,Slightly agree,Neutral / not very worried,Somewhat inactive,Low
P0639,35-44,Male,Bachelor’s,Public sector,US West,Conservative,Low,Slightly agree,Neutral / not very worried,Somewhat inactive,High
P0857,35-44,Male,Bachelor’s,Service/Office,US Midwest,Moderate Liberal,Moderate,Neutral,Very worried,Somewhat inactive,Low
P0730,45+,Male,Bachelor’s,Farming/Agriculture,Europe-North,Conservative,Low,Strongly disagree,Somewhat worried,Somewhat inactive,Medium
P0353,35-44,Other/Non-binary,Bachelor’s,Service/Office,Other,Centrist,Low,Slightly agree,Neutral / not very worried,Somewhat inactive,Low
P0653,45+,Female,High School or less,Service/Office,Global South,Moderate Liberal,Very low,Strongly agree,Somewhat worried,Somewhat inactive,Medium
P0938,18-24,Male,Bachelor’s,Environmental/NGO,US Midwest,Conservative,Very low,Strongly disagree,Somewhat worried,Somewhat inactive,Medium
P0501,18-24,Other/Non-binary,Master’s/PhD,Service/Office,Europe-North,Conservative,High,Slightly disagree,Neutral / not very worried,Neutral,Low
P0445,18-24,Female,Bachelor’s,Education/Academic,US Midwest,Moderate Conservative,Very low,Neutral,Somewhat worried,Somewhat inactive,Medium
P0036,25-34,Male,Bachelor’s,Public sector,Europe-North,Conservative,Moderate,Neutral,Very worried,Neutral,Medium
P1000,45+,Female,Bachelor’s,Service/Office,US West,Liberal,High,Slightly agree,Very worried,Neutral,Medium
P0232,45+,Male,High School or less,Environmental/NGO,US South,Moderate Conservative,High,Neutral,Somewhat not worried,Somewhat inactive,Medium
P0240,18-24,Female,Bachelor’s,Service/Office,Europe-North,Moderate Conservative,Very low,Slightly disagree,Very worried,Neutral,Medium
P0093,35-44,Male,Master’s/PhD,Manufacturing/Industrial,US Midwest,Centrist,Very high,Neutral,Very worried,Neutral,Low
P0535,25-34,Female,High School or less,Service/Office,US South,Liberal,Low,Slightly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0005,18-24,Male,High School or less,Manufacturing/Industrial,Europe-North,Moderate Liberal,Moderate,Strongly agree,Somewhat not worried,Somewhat inactive,Medium
P0803,18-24,Female,Bachelor’s,Tech/IT,US Midwest,Moderate Conservative,High,Slightly disagree,Very worried,Neutral,Low
P0288,25-34,Female,Bachelor’s,Education/Academic,Global South,Moderate Conservative,Moderate,Strongly agree,Somewhat worried,Neutral,High
P0058,25-34,Female,Bachelor’s,Environmental/NGO,Europe-North,Moderate Liberal,Very high,Strongly agree,Very worried,Neutral,High
P0727,35-44,Female,High School or less,Service/Office,Global South,Liberal,High,Neutral,Neutral / not very worried,Somewhat inactive,High
P0815,25-34,Female,Master’s/PhD,Construction/Outdoor,Global South,Centrist,Very high,Strongly agree,Somewhat worried,Neutral,Low
P0824,35-44,Male,High School or less,Tech/IT,US Northeast,Conservative,Moderate,Strongly disagree,Very worried,Somewhat inactive,Medium
P0557,18-24,Male,High School or less,Education/Academic,Global South,Centrist,Very high,Slightly agree,Very worried,Neutral,Medium
P0022,18-24,Female,Bachelor’s,Manufacturing/Industrial,US Midwest,Conservative,High,Slightly disagree,Somewhat worried,Somewhat inactive,Medium
P0044,25-34,Male,Master’s/PhD,Tech/IT,Europe-North,Conservative,Moderate,Neutral,Somewhat worried,Neutral,Low
P0194,35-44,Male,Master’s/PhD,Farming/Agriculture,Global South,Moderate Conservative,Moderate,Strongly disagree,Very worried,Neutral,High
P0212,25-34,Female,High School or less,Environmental/NGO,Europe-North,Moderate Liberal,Low,Slightly disagree,Very worried,Neutral,Medium
P0888,35-44,Male,Bachelor’s,Service/Office,US Northeast,Centrist,Very low,Slightly agree,Neutral / not very worried,Somewhat inactive,Medium
P0785,25-34,Female,High School or less,Education/Academic,US Midwest,Centrist,Very low,Neutral,Neutral / not very worried,Somewhat inactive,Low
