PersonaID,AgeGroup,Gender,EducationLevel,OccupationSector,Region,PoliticalIdeology,Trust_ScienceInstitutions,Belief_ClimateExists,Belief_HumanContribution,Emotional_WorryAboutClimate,BehaviouralOrientation,SocialConnectivity
P0242,25-34,Male,Bachelor’s,Construction/Outdoor,Global South,Centrist,High,Neutral,Neutral,Neutral / not very worried,Somewhat inactive,High
P0888,35-44,Male,Bachelor’s,Service/Office,US Northeast,Centrist,Very low,Slightly agree,Strongly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0632,45+,Female,Bachelor’s,Construction/Outdoor,Europe-North,Moderate Conservative,Moderate,Neutral,Slightly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0006,35-44,Male,Bachelor’s,Construction/Outdoor,US West,Conservative,Moderate,Slightly disagree,Neutral,Somewhat not worried,Somewhat inactive,Low
P0376,18-24,Male,Master’s/PhD,Education/Academic,Other,Conservative,Moderate,Slightly disagree,Neutral,Not worried at all,Not oriented to action,Medium
P0700,45+,Female,Bachelor’s,Construction/Outdoor,US West,Conservative,Moderate,Strongly disagree,Strongly agree,Very worried,Neutral,Low
P0699,35-44,Other/Non-binary,High School or less,Tech/IT,US West,Conservative,Moderate,Strongly disagree,Strongly agree,Neutral / not very worried,Neutral,Medium
P0072,35-44,Female,Bachelor’s,Manufacturing/Industrial,Global South,Conservative,High,Slightly disagree,Strongly agree,Somewhat not worried,Somewhat inactive,Medium
P0270,35-44,Male,Bachelor’s,Environmental/NGO,Other,Moderate Liberal,Very low,Slightly disagree,Strongly agree,Neutral / not very worried,Somewhat inactive,Low
P0007,25-34,Male,High School or less,Manufacturing/Industrial,US South,Conservative,Very low,Neutral,Slightly disagree,Somewhat worried,Somewhat inactive,Low
P0354,25-34,Female,Bachelor’s,Service/Office,Europe-North,Moderate Conservative,Low,Slightly disagree,Neutral,Very worried,Neutral,Medium
P0153,45+,Female,Bachelor’s,Service/Office,Europe-North,Liberal,Moderate,Strongly agree,Slightly agree,Neutral / not very worried,Somewhat inactive,Medium
P0561,45+,Female,High School or less,Education/Academic,Europe-North,Moderate Liberal,Moderate,Slightly agree,Slightly agree,Somewhat worried,Neutral,Medium
P0257,45+,Male,Bachelor’s,Service/Office,Global South,Liberal,High,Slightly agree,Strongly agree,Very worried,Neutral,Low
P0056,35-44,Female,Master’s/PhD,Farming/Agriculture,US South,Moderate Conservative,High,Neutral,Strongly agree,Somewhat worried,Neutral,Medium
P0086,45+,Female,Master’s/PhD,Education/Academic,US South,Moderate Conservative,High,Slightly disagree,Slightly agree,Somewhat worried,Somewhat inactive,High
P0803,18-24,Female,Bachelor’s,Tech/IT,US Midwest,Moderate Conservative,High,Slightly disagree,Strongly agree,Very worried,Neutral,Low
P0286,45+,Male,High School or less,Education/Academic,Other,Conservative,Very high,Strongly disagree,Strongly agree,Somewhat worried,Somewhat inactive,Medium
P0693,25-34,Female,High School or less,Farming/Agriculture,Europe-North,Centrist,Very low,Strongly agree,Slightly agree,Somewhat worried,Somewhat inactive,High
P0688,18-24,Male,Master’s/PhD,Education/Academic,US West,Moderate Liberal,High,Slightly agree,Strongly agree,Somewhat worried,Neutral,Low
P0077,35-44,Male,Bachelor’s,Environmental/NGO,US South,Moderate Conservative,Moderate,Slightly disagree,Slightly disagree,Somewhat not worried,Somewhat inactive,Medium
P0412,25-34,Female,High School or less,Tech/IT,Global South,Moderate Conservative,Moderate,Slightly disagree,Strongly agree,Somewhat worried,Somewhat inactive,Medium
P0205,25-34,Male,High School or less,Service/Office,US Northeast,Moderate Liberal,Moderate,Strongly agree,Strongly agree,Very worried,Neutral,Medium
P0177,45+,Male,Master’s/PhD,Farming/Agriculture,US West,Moderate Conservative,Moderate,Strongly disagree,Slightly agree,Somewhat worried,Neutral,Low
P0518,45+,Female,High School or less,Service/Office,Global South,Centrist,Low,Neutral,Neutral,Very worried,Somewhat inactive,Low
P0135,35-44,Female,Bachelor’s,Farming/Agriculture,Europe-North,Moderate Conservative,Moderate,Slightly agree,Strongly agree,Neutral / not very worried,Somewhat inactive,Medium
P0316,18-24,Other/Non-binary,High School or less,Service/Office,US Northeast,Moderate Liberal,High,Slightly agree,Slightly agree,Neutral / not very worried,Somewhat inactive,Medium
P0329,45+,Female,Bachelor’s,Manufacturing/Industrial,US Midwest,Moderate Liberal,High,Slightly agree,Slightly agree,Somewhat worried,Neutral,Low
P0576,25-34,Male,Master’s/PhD,Farming/Agriculture,US South,Moderate Liberal,Moderate,Slightly agree,Strongly agree,Somewhat worried,Somewhat inactive,Medium
P0197,25-34,Female,Bachelor’s,Public sector,US Northeast,Centrist,Very high,Strongly agree,Slightly agree,Somewhat not worried,Somewhat inactive,Medium
P0600,18-24,Male,Bachelor’s,Service/Office,Other,Conservative,Very high,Neutral,Slightly agree,Somewhat worried,Neutral,Medium
P0454,35-44,Female,Bachelor’s,Farming/Agriculture,Global South,Centrist,Very low,Slightly agree,Slightly disagree,Somewhat not worried,Somewhat inactive,Low
P0216,25-34,Male,High School or less,Tech/IT,Other,Liberal,Moderate,Strongly agree,Slightly agree,Somewhat worried,Neutral,High
P0839,45+,Male,Bachelor’s,Tech/IT,US Northeast,Moderate Liberal,High,Strongly agree,Strongly agree,Somewhat worried,Neutral,High
P0301,18-24,Male,Bachelor’s,Tech/IT,Other,Centrist,High,Neutral,Slightly agree,Somewhat worried,Somewhat inactive,Medium
P0252,25-34,Female,High School or less,Environmental/NGO,Global South,Liberal,Very low,Slightly agree,Slightly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0633,18-24,Male,High School or less,Service/Office,Global South,Moderate Conservative,High,Strongly disagree,Strongly agree,Very worried,Neutral,Medium
P0912,18-24,Male,Master’s/PhD,Education/Academic,Europe-North,Conservative,Moderate,Slightly disagree,Slightly agree,Very worried,Neutral,Low
P0629,35-44,Female,Master’s/PhD,Service/Office,US Northeast,Liberal,Very high,Slightly agree,Neutral,Very worried,Neutral,Medium
P0362,25-34,Other/Non-binary,Master’s/PhD,Construction/Outdoor,Global South,Centrist,Moderate,Slightly disagree,Strongly agree,Neutral / not very worried,Neutral,Medium
P0652,25-34,Male,High School or less,Tech/IT,US South,Conservative,Moderate,Strongly disagree,Neutral,Somewhat worried,Neutral,Medium
P0381,35-44,Female,Bachelor’s,Farming/Agriculture,US West,Centrist,Moderate,Strongly disagree,Slightly disagree,Somewhat not worried,Not oriented to action,Medium
P0421,45+,Female,High School or less,Education/Academic,Europe-North,Centrist,Very low,Slightly agree,Neutral,Neutral / not very worried,Somewhat inactive,Medium
P0644,45+,Male,Master’s/PhD,Tech/IT,US West,Liberal,High,Strongly agree,Slightly disagree,Somewhat not worried,Not oriented to action,Low
P0081,25-34,Male,High School or less,Education/Academic,Other,Moderate Conservative,High,Slightly agree,Strongly agree,Neutral / not very worried,Somewhat inactive,Medium
P0788,35-44,Male,Bachelor’s,Tech/IT,US Midwest,Liberal,Moderate,Slightly agree,Neutral,Neutral / not very worried,Somewhat inactive,Medium
P0956,35-44,Male,High School or less,Tech/IT,Other,Centrist,Moderate,Neutral,Strongly agree,Neutral / not very worried,Neutral,Low
P0953,45+,Male,Bachelor’s,Construction/Outdoor,US West,Moderate Liberal,Very high,Slightly agree,Slightly agree,Neutral / not very worried,Somewhat inactive,Medium
P0249,45+,Male,Bachelor’s,Manufacturing/Industrial,Global South,Moderate Liberal,Moderate,Strongly agree,Strongly agree,Somewhat worried,Neutral,Medium
P0832,35-44,Male,Bachelor’s,Service/Office,US Northeast,Moderate Conservative,Moderate,Strongly agree,Neutral,Neutral / not very worried,Somewhat inactive,Medium
P0317,35-44,Other/Non-binary,Bachelor’s,Service/Office,Europe-North,Moderate Conservative,Very high,Neutral,Strongly agree,Somewhat worried,Neutral,Medium
P0906,18-24,Male,Bachelor’s,Service/Office,US Northeast,Liberal,Moderate,Strongly agree,Strongly agree,Very worried,Neutral,Medium
P0582,35-44,Male,Master’s/PhD,Manufacturing/Industrial,US West,Moderate Conservative,Very low,Slightly disagree,Strongly disagree,Somewhat worried,Somewhat inactive,Low
P0747,35-44,Female,Master’s/PhD,Tech/IT,US West,Liberal,Very high,Slightly agree,Strongly agree,Very worried,Neutral,Medium
P0152,25-34,Male,High School or less,Service/Office,Global South,Moderate Conservative,Moderate,Neutral,Neutral,Somewhat worried,Somewhat inactive,Low
P0434,35-44,Female,Master’s/PhD,Education/Academic,US Northeast,Centrist,High,Strongly agree,Neutral,Neutral / not very worried,Somewhat inactive,High
P0106,35-44,Male,High School or less,Education/Academic,US Midwest,Moderate Liberal,High,Slightly agree,Strongly agree,Neutral / not very worried,Somewhat inactive,High
P0333,45+,Male,Bachelor’s,Farming/Agriculture,US South,Centrist,Low,Slightly disagree,Slightly disagree,Somewhat not worried,Somewhat inactive,Low
P0084,45+,Female,Bachelor’s,Tech/IT,Europe-North,Moderate Conservative,Low,Neutral,Slightly disagree,Neutral / not very worried,Somewhat inactive,Low
P0785,25-34,Female,High School or less,Education/Academic,US Midwest,Centrist,Very low,Neutral,Slightly agree,Neutral / not very worried,Somewhat inactive,Low
P0178,25-34,Female,Master’s/PhD,Service/Office,Europe-North,Moderate Conservative,High,Neutral,Strongly agree,Very worried,Neutral,Medium
P0017,18-24,Male,Bachelor’s,Service/Office,Global South,Moderate Conservative,Very low,Strongly agree,Neutral,Somewhat worried,Somewhat inactive,Low
P0165,45+,Male,Master’s/PhD,Farming/Agriculture,Europe-North,Conservative,High,Strongly disagree,Neutral,Somewhat worried,Somewhat inactive,High
P0256,45+,Female,High School or less,Public sector,US South,Liberal,High,Strongly agree,Strongly agree,Neutral / not very worried,Somewhat inactive,Medium
P0019,45+,Female,Master’s/PhD,Public sector,Global South,Liberal,High,Strongly agree,Strongly agree,Very worried,Neutral,Medium
P0311,35-44,Male,High School or less,Service/Office,Global South,Liberal,High,Strongly agree,Strongly disagree,Somewhat worried,Somewhat inactive,Medium
P0577,18-24,Male,High School or less,Education/Academic,US West,Centrist,Moderate,Neutral,Strongly agree,Very worried,Neutral,High
P0394,45+,Male,Bachelor’s,Public sector,US South,Centrist,Very low,Slightly agree,Neutral,Somewhat worried,Neutral,Low
P0637,35-44,Female,Bachelor’s,Manufacturing/Industrial,US South,Centrist,Low,Slightly agree,Strongly agree,Neutral / not very worried,Neutral,Low
P0162,45+,Male,High School or less,Public sector,Global South,Moderate Liberal,Very high,Slightly agree,Strongly agree,Not worried at all,Somewhat inactive,Low
P0621,45+,Other/Non-binary,Master’s/PhD,Tech/IT,Global South,Moderate Conservative,Moderate,Slightly disagree,Slightly agree,Somewhat worried,Somewhat inactive,Low
P0212,25-34,Female,High School or less,Environmental/NGO,Europe-North,Moderate Liberal,Low,Slightly disagree,Slightly agree,Very worried,Neutral,Medium
P0118,45+,Male,Bachelor’s,Construction/Outdoor,US South,Conservative,Low,Neutral,Neutral,Somewhat not worried,Not oriented to action,Medium
P0846,35-44,Male,High School or less,Public sector,US South,Centrist,High,Neutral,Slightly agree,Neutral / not very worried,Somewhat inactive,Medium
P0689,18-24,Male,High School or less,Education/Academic,US West,Centrist,Low,Neutral,Slightly disagree,Somewhat worried,Somewhat inactive,Low
P0501,18-24,Other/Non-binary,Master’s/PhD,Service/Office,Europe-North,Conservative,High,Slightly disagree,Strongly agree,Neutral / not very worried,Neutral,Low
P0581,35-44,Male,Bachelor’s,Manufacturing/Industrial,US West,Liberal,Very high,Neutral,Strongly agree,Very worried,Neutral,Medium
P0970,25-34,Female,Bachelor’s,Service/Office,US South,Centrist,Very low,Slightly disagree,Slightly disagree,Somewhat not worried,Not oriented to action,High
P0741,18-24,Male,Bachelor’s,Public sector,Other,Moderate Liberal,High,Slightly agree,Slightly agree,Somewhat worried,Somewhat inactive,Medium
P0011,45+,Male,Bachelor’s,Construction/Outdoor,Other,Conservative,High,Slightly disagree,Slightly agree,Very worried,Neutral,Low
P0706,18-24,Male,Master’s/PhD,Service/Office,US Midwest,Moderate Conservative,High,Slightly disagree,Slightly agree,Somewhat not worried,Somewhat inactive,High
P0031,45+,Male,Master’s/PhD,Farming/Agriculture,Global South,Conservative,High,Strongly disagree,Strongly agree,Somewhat worried,Neutral,Low
P0211,45+,Female,Bachelor’s,Education/Academic,US West,Conservative,Moderate,Slightly disagree,Strongly agree,Somewhat not worried,Somewhat inactive,Medium
P0410,25-34,Male,High School or less,Public sector,Global South,Liberal,Low,Slightly agree,Neutral,Somewhat worried,Somewhat inactive,Medium
P0073,45+,Female,High School or less,Education/Academic,US West,Conservative,Low,Strongly disagree,Slightly agree,Somewhat worried,Somewhat inactive,Medium
P0646,35-44,Male,Bachelor’s,Construction/Outdoor,US West,Conservative,High,Strongly disagree,Strongly agree,Very worried,Neutral,Low
P0235,18-24,Male,Bachelor’s,Farming/Agriculture,US South,Conservative,High,Strongly disagree,Slightly agree,Very worried,Neutral,Low
P0452,18-24,Female,Bachelor’s,Tech/IT,Europe-North,Moderate Conservative,High,Neutral,Slightly agree,Somewhat not worried,Somewhat inactive,High
P0746,45+,Female,Bachelor’s,Service/Office,US South,Moderate Conservative,High,Slightly disagree,Strongly agree,Very worried,Neutral,Low
P0147,35-44,Female,High School or less,Farming/Agriculture,Europe-North,Centrist,Low,Neutral,Slightly agree,Neutral / not very worried,Somewhat inactive,Medium
P0585,25-34,Male,Master’s/PhD,Manufacturing/Industrial,US South,Conservative,Low,Slightly disagree,Slightly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0461,18-24,Other/Non-binary,Bachelor’s,Public sector,Europe-North,Moderate Liberal,Moderate,Neutral,Neutral,Neutral / not very worried,Somewhat inactive,Medium
P0737,45+,Female,High School or less,Service/Office,Global South,Liberal,Very low,Neutral,Strongly disagree,Very worried,Somewhat inactive,Medium
P0821,25-34,Male,Master’s/PhD,Service/Office,Global South,Moderate Conservative,High,Slightly agree,Slightly agree,Very worried,Neutral,High
P0393,45+,Male,High School or less,Construction/Outdoor,Europe-North,Conservative,Moderate,Slightly agree,Strongly agree,Neutral / not very worried,Somewhat inactive,High
P0841,25-34,Female,High School or less,Public sector,Global South,Moderate Liberal,High,Slightly disagree,Strongly agree,Very worried,Neutral,High
P0564,35-44,Male,High School or less,Public sector,Europe-North,Conservative,Very high,Neutral,Neutral,Somewhat worried,Somewhat inactive,Medium
P0794,45+,Female,High School or less,Education/Academic,US West,Moderate Conservative,Very low,Neutral,Slightly disagree,Somewhat not worried,Not oriented to action,Medium
P0769,45+,Female,Bachelor’s,Manufacturing/Industrial,Global South,Conservative,Low,Strongly disagree,Neutral,Neutral / not very worried,Somewhat inactive,Medium
P0445,18-24,Female,Bachelor’s,Education/Academic,US Midwest,Moderate Conservative,Very low,Neutral,Slightly agree,Somewhat worried,Somewhat inactive,Medium
P0531,35-44,Male,High School or less,Tech/IT,US South,Centrist,Low,Slightly disagree,Slightly agree,Somewhat worried,Neutral,High
P0711,25-34,Female,Bachelor’s,Service/Office,Europe-North,Liberal,Moderate,Slightly disagree,Strongly agree,Neutral / not very worried,Somewhat inactive,Low
P0074,45+,Female,High School or less,Service/Office,US South,Centrist,Moderate,Slightly agree,Strongly agree,Very worried,Neutral,Medium
P0842,25-34,Female,Master’s/PhD,Tech/IT,US South,Conservative,Very low,Slightly agree,Strongly disagree,Very worried,Somewhat inactive,Medium
P0718,45+,Female,Master’s/PhD,Education/Academic,US Northeast,Moderate Liberal,Moderate,Slightly agree,Slightly disagree,Neutral / not very worried,Somewhat inactive,High
P0802,18-24,Male,High School or less,Environmental/NGO,US West,Centrist,High,Slightly disagree,Slightly disagree,Somewhat not worried,Not oriented to action,Medium
P0983,25-34,Female,High School or less,Tech/IT,US Northeast,Liberal,Moderate,Slightly disagree,Strongly agree,Neutral / not very worried,Somewhat inactive,High
P0532,45+,Male,High School or less,Service/Office,Other,Moderate Conservative,Very high,Slightly agree,Strongly agree,Very worried,Neutral,Low
P0192,35-44,Male,High School or less,Public sector,Other,Moderate Conservative,Low,Slightly agree,Slightly disagree,Somewhat worried,Somewhat inactive,Low
P0791,18-24,Male,High School or less,Farming/Agriculture,US Midwest,Conservative,Very low,Neutral,Strongly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0426,45+,Male,High School or less,Education/Academic,US South,Conservative,High,Slightly disagree,Strongly agree,Somewhat worried,Neutral,Medium
P0482,35-44,Male,High School or less,Tech/IT,Europe-North,Moderate Conservative,High,Neutral,Strongly agree,Neutral / not very worried,Somewhat inactive,Medium
P0053,45+,Other/Non-binary,High School or less,Education/Academic,Europe-North,Centrist,Moderate,Neutral,Strongly agree,Somewhat not worried,Somewhat inactive,Low
P0182,35-44,Male,Master’s/PhD,Education/Academic,US South,Centrist,Moderate,Slightly agree,Strongly agree,Very worried,Neutral,Medium
P0247,45+,Male,Bachelor’s,Service/Office,US Midwest,Conservative,Low,Slightly disagree,Strongly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0710,45+,Female,Bachelor’s,Environmental/NGO,Europe-North,Moderate Liberal,Moderate,Neutral,Strongly agree,Somewhat not worried,Somewhat inactive,Medium
P0714,18-24,Female,High School or less,Manufacturing/Industrial,Europe-North,Conservative,Low,Slightly agree,Neutral,Neutral / not very worried,Somewhat inactive,Medium
P0768,35-44,Female,Bachelor’s,Service/Office,Other,Conservative,Low,Neutral,Neutral,Somewhat not worried,Somewhat inactive,Low
P0083,45+,Female,High School or less,Tech/IT,Europe-North,Moderate Conservative,Very high,Neutral,Strongly agree,Somewhat not worried,Somewhat inactive,Medium
P0427,35-44,Male,High School or less,Environmental/NGO,Europe-North,Conservative,Moderate,Slightly agree,Strongly agree,Somewhat not worried,Somewhat inactive,High
P0975,45+,Female,Bachelor’s,Construction/Outdoor,Global South,Conservative,Very high,Strongly disagree,Strongly agree,Very worried,Neutral,Low
P0309,45+,Male,Bachelor’s,Construction/Outdoor,US Midwest,Liberal,High,Strongly agree,Strongly agree,Somewhat worried,Neutral,Medium
P0520,25-34,Female,Master’s/PhD,Tech/IT,US Midwest,Centrist,Very high,Strongly disagree,Strongly agree,Somewhat worried,Neutral,Low
P0121,45+,Female,High School or less,Service/Office,Global South,Liberal,High,Strongly agree,Neutral,Neutral / not very worried,Somewhat inactive,Low
P0907,25-34,Male,Master’s/PhD,Public sector,US South,Moderate Conservative,Very high,Slightly disagree,Neutral,Very worried,Somewhat inactive,Medium
P0530,45+,Female,High School or less,Service/Office,US West,Centrist,High,Strongly agree,Neutral,Somewhat worried,Somewhat inactive,Low
P0331,25-34,Male,Master’s/PhD,Tech/IT,US South,Moderate Conservative,Very high,Slightly disagree,Strongly agree,Somewhat not worried,Somewhat inactive,Low
P0230,45+,Female,Bachelor’s,Service/Office,US Northeast,Centrist,High,Slightly agree,Strongly agree,Somewhat worried,Neutral,Low
P0807,35-44,Female,Master’s/PhD,Service/Office,Europe-North,Moderate Liberal,High,Slightly agree,Slightly agree,Neutral / not very worried,Somewhat inactive,Medium
P0578,25-34,Female,Bachelor’s,Construction/Outdoor,Global South,Conservative,Moderate,Strongly agree,Slightly disagree,Very worried,Neutral,Medium
P0877,25-34,Female,Bachelor’s,Education/Academic,Other,Moderate Liberal,High,Strongly agree,Strongly agree,Somewhat worried,Neutral,Low
P0735,45+,Other/Non-binary,Bachelor’s,Manufacturing/Industrial,US Midwest,Liberal,High,Strongly agree,Neutral,Somewhat worried,Neutral,High
P0327,45+,Male,Master’s/PhD,Environmental/NGO,US West,Liberal,High,Slightly agree,Slightly agree,Somewhat worried,Neutral,Low
P0251,25-34,Male,Master’s/PhD,Public sector,Other,Liberal,High,Slightly agree,Slightly agree,Very worried,Neutral,Medium
P0834,25-34,Female,High School or less,Service/Office,Global South,Liberal,Moderate,Neutral,Strongly agree,Very worried,Neutral,Low
P0296,45+,Female,Bachelor’s,Tech/IT,Europe-North,Moderate Conservative,Moderate,Strongly disagree,Strongly agree,Somewhat worried,Neutral,Medium
P0523,45+,Female,Bachelor’s,Education/Academic,US West,Centrist,Moderate,Slightly disagree,Strongly agree,Somewhat not worried,Somewhat inactive,Medium
P0176,35-44,Female,Bachelor’s,Service/Office,Global South,Moderate Conservative,Moderate,Strongly agree,Strongly agree,Very worried,Neutral,Low
P0385,25-34,Male,High School or less,Tech/IT,US South,Liberal,High,Strongly agree,Strongly agree,Somewhat worried,Neutral,High
P0141,45+,Male,High School or less,Farming/Agriculture,Europe-North,Conservative,Very low,Slightly disagree,Strongly disagree,Neutral / not very worried,Somewhat inactive,Low
P0036,25-34,Male,Bachelor’s,Public sector,Europe-North,Conservative,Moderate,Neutral,Slightly agree,Very worried,Neutral,Medium
P0431,18-24,Male,High School or less,Public sector,Europe-North,Conservative,Very high,Strongly disagree,Strongly agree,Very worried,Neutral,Medium
P0298,45+,Female,Master’s/PhD,Construction/Outdoor,US Northeast,Liberal,Very high,Slightly agree,Slightly agree,Very worried,Neutral,Medium
P0127,45+,Female,High School or less,Tech/IT,US West,Liberal,Very high,Strongly agree,Slightly agree,Neutral / not very worried,Somewhat inactive,Low
P0824,35-44,Male,High School or less,Tech/IT,US Northeast,Conservative,Moderate,Strongly disagree,Slightly disagree,Very worried,Somewhat inactive,Medium
P0876,35-44,Male,High School or less,Education/Academic,Europe-North,Conservative,Very low,Slightly disagree,Slightly agree,Very worried,Neutral,High
P0627,25-34,Male,Master’s/PhD,Service/Office,US West,Moderate Conservative,High,Slightly disagree,Strongly agree,Somewhat worried,Neutral,High
P0020,45+,Male,Master’s/PhD,Service/Office,US West,Conservative,Very low,Slightly disagree,Slightly disagree,Very worried,Somewhat inactive,Medium
P0931,45+,Male,Bachelor’s,Education/Academic,Europe-North,Moderate Conservative,Moderate,Neutral,Strongly agree,Somewhat worried,Neutral,Low
P0525,45+,Female,Master’s/PhD,Farming/Agriculture,US West,Centrist,High,Strongly agree,Slightly agree,Very worried,Neutral,Low
P0372,45+,Female,Bachelor’s,Tech/IT,Europe-North,Conservative,Low,Slightly disagree,Slightly agree,Somewhat worried,Neutral,Medium
P0401,18-24,Female,High School or less,Manufacturing/Industrial,Global South,Conservative,Moderate,Strongly disagree,Strongly agree,Somewhat not worried,Somewhat inactive,Low
P0124,45+,Female,High School or less,Manufacturing/Industrial,Europe-North,Conservative,Low,Slightly agree,Slightly disagree,Somewhat not worried,Not oriented to action,Medium
P0137,18-24,Female,Bachelor’s,Education/Academic,Europe-North,Conservative,High,Slightly disagree,Slightly agree,Very worried,Neutral,High
P0136,35-44,Male,Bachelor’s,Service/Office,US Northeast,Conservative,Moderate,Strongly disagree,Strongly agree,Not worried at all,Somewhat inactive,Low
P0840,35-44,Male,Master’s/PhD,Public sector,US West,Moderate Conservative,Moderate,Slightly disagree,Strongly agree,Somewhat worried,Neutral,Medium
P0677,35-44,Female,High School or less,Farming/Agriculture,US Midwest,Liberal,Low,Slightly agree,Slightly agree,Somewhat worried,Somewhat inactive,High
P0045,45+,Other/Non-binary,Bachelor’s,Education/Academic,Europe-North,Centrist,High,Strongly agree,Strongly agree,Very worried,Neutral,Medium
P0902,18-24,Female,High School or less,Public sector,US Northeast,Moderate Conservative,Low,Slightly disagree,Strongly disagree,Somewhat worried,Somewhat inactive,Medium
P0021,45+,Female,Bachelor’s,Education/Academic,US Northeast,Centrist,Moderate,Slightly disagree,Strongly agree,Not worried at all,Somewhat inactive,High
P0991,45+,Female,High School or less,Tech/IT,Europe-North,Moderate Conservative,Low,Strongly agree,Slightly disagree,Somewhat worried,Somewhat inactive,Medium
P0150,35-44,Male,High School or less,Farming/Agriculture,US South,Moderate Liberal,Moderate,Strongly agree,Slightly disagree,Very worried,Somewhat inactive,Medium
P0060,25-34,Male,High School or less,Public sector,US West,Moderate Conservative,Moderate,Strongly agree,Slightly agree,Very worried,Neutral,High
P0708,25-34,Male,Bachelor’s,Manufacturing/Industrial,US West,Centrist,Very high,Slightly disagree,Strongly agree,Somewhat worried,Neutral,High
P0820,45+,Female,Master’s/PhD,Construction/Outdoor,Other,Centrist,Moderate,Neutral,Slightly disagree,Somewhat worried,Somewhat inactive,Low
P0248,25-34,Male,Bachelor’s,Manufacturing/Industrial,US Northeast,Moderate Liberal,Moderate,Slightly disagree,Strongly agree,Neutral / not very worried,Somewhat inactive,Low
P0313,35-44,Male,Bachelor’s,Service/Office,Europe-North,Conservative,Very high,Strongly disagree,Strongly agree,Somewhat worried,Neutral,Low
P0397,45+,Other/Non-binary,Bachelor’s,Farming/Agriculture,US West,Moderate Liberal,High,Strongly agree,Strongly agree,Somewhat worried,Somewhat inactive,Medium
P0976,25-34,Female,High School or less,Service/Office,US West,Moderate Conservative,Moderate,Neutral,Strongly agree,Neutral / not very worried,Somewhat inactive,Medium
P0837,18-24,Male,Bachelor’s,Construction/Outdoor,Europe-North,Centrist,High,Slightly disagree,Slightly agree,Somewhat worried,Neutral,Medium
P0691,18-24,Female,Master’s/PhD,Service/Office,US West,Moderate Conservative,High,Slightly disagree,Strongly agree,Somewhat worried,Neutral,High
P0180,25-34,Male,Master’s/PhD,Education/Academic,US Midwest,Moderate Conservative,High,Slightly disagree,Neutral,Very worried,Neutral,Medium
P0155,35-44,Male,High School or less,Manufacturing/Industrial,US West,Centrist,Low,Slightly agree,Slightly agree,Neutral / not very worried,Somewhat inactive,High
P0101,25-34,Male,Bachelor’s,Tech/IT,Global South,Conservative,Low,Strongly disagree,Neutral,Somewhat worried,Somewhat inactive,Medium
P0039,45+,Male,Bachelor’s,Tech/IT,US Midwest,Moderate Conservative,Moderate,Slightly agree,Neutral,Very worried,Somewhat inactive,Low
P0364,18-24,Male,Bachelor’s,Tech/IT,US Northeast,Moderate Conservative,Moderate,Strongly agree,Slightly agree,Very worried,Neutral,Medium
P0273,45+,Other/Non-binary,Master’s/PhD,Service/Office,US West,Centrist,Very high,Slightly agree,Slightly agree,Neutral / not very worried,Somewhat inactive,Medium
P0049,18-24,Male,High School or less,Tech/IT,Europe-North,Liberal,Moderate,Slightly agree,Strongly agree,Somewhat worried,Neutral,Low
P0730,45+,Male,Bachelor’s,Farming/Agriculture,Europe-North,Conservative,Low,Strongly disagree,Neutral,Somewhat worried,Somewhat inactive,Medium
P0732,35-44,Female,Bachelor’s,Public sector,US Midwest,Centrist,Low,Strongly agree,Neutral,Somewhat not worried,Somewhat inactive,Medium
P0358,25-34,Other/Non-binary,Bachelor’s,Service/Office,Global South,Centrist,Moderate,Neutral,Slightly agree,Very worried,Neutral,High
P0541,35-44,Male,High School or less,Service/Office,Global South,Conservative,High,Strongly disagree,Slightly agree,Very worried,Neutral,Medium
P0013,45+,Other/Non-binary,High School or less,Service/Office,US Northeast,Moderate Conservative,Low,Strongly agree,Neutral,Neutral / not very worried,Somewhat inactive,Medium
P0808,18-24,Other/Non-binary,High School or less,Tech/IT,Other,Conservative,High,Neutral,Neutral,Somewhat not worried,Somewhat inactive,Low
P0929,18-24,Male,Bachelor’s,Manufacturing/Industrial,US South,Moderate Liberal,Low,Strongly agree,Neutral,Somewhat not worried,Somewhat inactive,High
P0957,18-24,Female,Master’s/PhD,Education/Academic,Europe-North,Moderate Conservative,High,Slightly agree,Strongly agree,Very worried,Neutral,Medium
P0110,18-24,Female,High School or less,Tech/IT,Europe-North,Moderate Liberal,High,Strongly agree,Strongly agree,Very worried,Neutral,Medium
P0513,25-34,Female,Bachelor’s,Manufacturing/Industrial,US Midwest,Moderate Conservative,Moderate,Strongly disagree,Slightly agree,Very worried,Neutral,Medium
P0079,18-24,Female,Master’s/PhD,Service/Office,Europe-North,Conservative,Very high,Strongly disagree,Strongly agree,Somewhat worried,Neutral,High
P0787,45+,Female,Master’s/PhD,Environmental/NGO,Global South,Moderate Liberal,Moderate,Slightly disagree,Strongly agree,Somewhat worried,Neutral,Low
P0284,25-34,Male,High School or less,Tech/IT,Global South,Conservative,Very low,Slightly disagree,Slightly agree,Somewhat worried,Somewhat inactive,Medium
